version,subjID,Gender,Age,Q1_SC_SystematicVariation,Q2_BearTurtle,Q2_BearBird,Q2_BearDeer,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SC_ForcedChoicePerformance,Q3_1,Q3_2,Q3_3,Q3_4,Q3_SCT_ForcedChoicePerformance
1,1,Female,60,0,64,25,40,2,2,1,1,0,0,2,1,1,0,0,2
1,2,Male,26,1,79,73,93,2,1,1,1,0,0,2,1,0,0,0,1
1,3,female,38,0,18,33,37,2,2,1,0,0,1,2,1,0,0,1,2
1,4,MALE,39,0,77,66,68,2,2,1,1,0,0,2,1,1,0,0,2
1,5,Female,25,0,51,51,50,3,2,1,1,1,0,3,1,1,0,0,2
2,6,Male,36,1,84,67,75,1,1,0,0,0,1,1,1,0,0,0,1
2,7,Female,34,1,,,,,,,,,,,,,,,
2,8,MALE,26,1,,,,,,,,,,,,,,,
2,9,male,26,1,,,,,,,,,,,,,,,
2,10,MALE,26,1,88,95,89,4,2,1,1,1,1,4,0,1,0,1,2
3,11,female,49,0,60,25,32,4,0,1,1,1,1,4,0,0,0,0,0
3,12,female,30,1,53,18,29,2,2,0,0,1,1,2,0,0,1,1,2
3,13,Male,25,1,51,41,69,1,3,0,0,0,1,1,1,0,1,1,3
3,14,female,25,1,43,62,51,1,3,0,0,1,0,1,0,1,1,1,3
3,15,female,48,0,50,50,50,2,4,1,0,0,1,2,1,1,1,1,4
4,16,Male,26,0,50,50,50,2,2,0,1,0,1,2,0,1,0,1,2
4,17,FEMALE,26,1,93,99,98,2,2,0,1,1,0,2,0,1,1,0,2
4,18,Female,38,1,84,75,50,1,2,0,0,1,0,1,0,0,1,1,2
4,19,Male,24,0,51,50,50,1,3,0,0,1,0,1,1,0,1,1,3
4,20,female ,30,1,55,73,63,1,1,0,0,1,0,1,0,0,1,0,1
5,21,male,27,1,68,59,63,2,2,1,0,1,0,2,1,0,0,1,2
5,22,Male,25,1,60,40,70,2,2,1,0,1,0,2,1,0,1,0,2
5,23,Male,21,0,47,47,50,2,2,1,0,1,0,2,1,0,1,0,2
5,24,Male,33,0,10,30,60,2,2,0,0,1,1,2,0,1,1,0,2
5,25,Male,30,1,67,50,50,2,2,1,0,1,0,2,1,0,1,0,2
6,26,female,39,0,40,12,5,4,2,1,1,1,1,4,1,1,0,0,2
6,27,Male,27,0,62,40,84,2,1,0,0,1,1,2,0,1,0,0,1
6,28,FEMALE,47,0,33,50,30,4,0,1,1,1,1,4,0,0,0,0,0
6,29,male,69,1,50,15,33,2,2,1,1,0,0,2,1,1,0,0,2
6,30,male,28,1,41,36,43,2,2,0,0,1,1,2,1,1,0,0,2
7,31,Male,26,0,57,45,70,2,2,1,1,0,0,2,1,1,0,0,2
7,32,female,40,0,74,59,70,3,3,1,0,1,1,3,1,1,1,0,3
7,33,Male,29,0,52,33,62,2,2,0,1,0,1,2,1,1,0,0,2
7,34,Male,28,0,58,65,55,2,2,1,0,0,1,2,1,0,0,1,2
7,35,Female,25,0,50,50,50,2,4,1,0,0,1,2,1,1,1,1,4
8,36,FEMALE,36,0,,,,,,,,,,,,,,,
8,37,Male,24,0,50,50,50,2,1,1,0,1,0,2,1,0,0,0,1
8,38,male,37,0,51,51,51,2,2,1,0,0,1,2,1,0,0,1,2
8,39,male,50,0,60,20,20,2,2,1,1,0,0,2,1,1,0,0,2
8,40,female,34,0,34,41,52,3,3,1,1,0,1,3,1,0,1,1,3
9,41,male,26,0,,,,,,,,,,,,,,,
9,42,Female,29,1,,,,,,,,,,,,,,,
9,43,Male,26,1,48,35,69,3,2,1,0,1,1,3,0,0,1,1,2
9,44,Male,27,0,36,62,20,0,0,,,,,,,,,,
9,45,male,30,1,,,,,,,,,,,,,,,
10,46,male,34,0,,,,,,,,,,,,,,,
10,47,Male,24,0,,,,,,,,,,,,,,,
10,48,male,32,0,43,22,63,2,0,1,0,1,0,2,0,0,0,0,0
10,49,female,63,1,39,77,0,1,2,0,0,1,0,1,1,1,0,0,2
10,50,Female,25,0,,,,,,,,,,,,,,,
11,51,Female,43,0,50,34,17,2,0,1,0,0,1,2,0,0,0,0,0
11,52,male,26,1,,,,,,,,,,,,,,,
11,53,male,30,0,79,50,63,2,2,1,0,1,0,2,1,0,1,0,2
11,54,Female,41,1,,,,,,,,,,,,,,,
11,55,male,33,0,51,51,51,2,2,0,1,1,0,2,0,1,0,1,2
12,56,male,31,0,20,25,25,2,2,0,1,0,1,2,0,1,0,1,2
12,57,Male,45,0,,,,4,4,1,1,1,1,4,1,1,1,1,4
12,58,MALE,31,1,,,,,,,,,,,,,,,
12,59,male,25,0,73,82,63,2,2,0,1,0,1,2,0,1,0,1,2
12,60,Male,28,1,53,74,64,2,3,0,0,1,1,2,0,1,1,1,3
